"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"7933394",0.031612134116816,3.27858961403514,1.26623066243971,0.206367652340449,0.323818271441089,-6.43341921105231
"8058333",0.0357589608586326,7.18608799639297,1.26615351258706,0.206395230827878,0.323846284382256,-6.43351620846325
"7987310",0.0339561639182866,5.15140209421725,1.26602380650161,0.206441602468242,0.323903780858781,-6.43367926952994
"8136963",-0.0272531928447986,3.45558846130032,-1.26595435814859,0.206466434296947,0.323927477867664,-6.43376657029854
"7971950",-0.0481962696065974,5.50573657665176,-1.26587936726815,0.206493250348743,0.323954285566439,-6.43386083303559
"7945033",0.0202918030699152,2.74740714398403,1.26567206985227,0.206567391225617,0.3240553321856,-6.43412137492042
"8162940",-0.0700044412896721,6.89515645720447,-1.2656167334734,0.20658718582022,0.324067164875561,-6.43419091734042
"7960365",0.0697404224432115,5.08640375207029,1.26559656933018,0.20659439915949,0.324067164875561,-6.4342162573057
"8038393",0.033062238704553,4.17911255698722,1.26554850964877,0.206611592338574,0.324078867066964,-6.43427665154879
"7990898",0.0337142678073704,9.67398854614697,1.26549521257984,0.206630660394881,0.324093508840189,-6.43434362470512
"8148057",-0.0277428395829175,11.6375322419489,-1.26537226306881,0.206674652854662,0.324147240513504,-6.43449811254918
"7895821",0.063477489796028,3.83592113721086,1.26531002471837,0.206696924910231,0.324157908027981,-6.43457631027531
"8122348",0.0292242190567047,7.80813081185943,1.26524977673715,0.206718486377789,0.324157908027981,-6.43465200362828
"7895563",-0.0700372091630945,6.30579668180192,-1.26524805101669,0.206719104000507,0.324157908027981,-6.43465417170762
"8068549",0.0425979406350116,3.71639801269968,1.26524444155879,0.20672039580341,0.324157908027981,-6.43465870637869
"7925031",-0.0313302805120888,2.76041170278594,-1.26467356365877,0.206924783632076,0.324463127883082,-6.43537575637435
"8061426",-0.0297722396313144,3.45249889761981,-1.26453736552224,0.206973567562437,0.324515377505539,-6.43554678043411
"8035175",0.0290951637572696,4.63999188101278,1.264526114847,0.206977597744095,0.324515377505539,-6.43556090709669
"7961239",0.0233737362061314,3.07179565261661,1.26432489725722,0.20704968694397,0.324613119228429,-6.43581354052217
"7938878",-0.0521959197810317,4.94102988878275,-1.2642478029722,0.207077311971121,0.324641143966403,-6.43591032366936
"7896729",0.0542669533264785,2.55798657039297,1.26415297822761,0.207111294000984,0.324679131654933,-6.43602935738991
"8129560",-0.018864133296195,3.00496698684345,-1.26411487141668,0.207124951358008,0.324685255184199,-6.43607719046813
"7991313",-0.185351470306289,5.8305003996262,-1.26402012074983,0.207158912534961,0.324708730542484,-6.43619611882257
"7909624",0.0265994180973747,3.70519958071566,1.2640186752651,0.207159430666847,0.324708730542484,-6.43619793308575
"7894788",-0.0645031109440423,5.58084395814057,-1.26394577708587,0.207185562137959,0.324734403243627,-6.43628942670686
"8139083",0.0399868682836074,5.42952094810863,1.2639175820543,0.207195669724252,0.32473495951087,-6.43632481254847
"7894889",-0.0415905765982058,9.20817918633866,-1.26330498564121,0.207415367086615,0.325063987474491,-6.43709345153363
